,评论,日期,评分,城市,昵称
3374,首先剧情的构架是很好的，然后动画景致的部分表现也是非常美的，整部动画的笑料也足，对于人物的动画表现还有待加强，对于剧情这部分，整个动画要表达的情感和主题并不应该是光靠台词揭示出来的，而是应该靠情节和细节体现出来的，这是这部电影的不足，给九分是希望国产动漫电影可以有更优秀剧情更高质量的动画产出,2018-08-04,4.5,阜新,zhangleif123
3389,个人看过的国产动画电影之最了,2018-08-04,5.0,嘉兴,Ambition_Lu
3419,男主不劳而获，,2018-08-04,3.5,天津,meO664599869
3434,希望中国动画越来越好,2018-08-04,4.5,杭州,糊涂一点2010
3479,小朋友很喜欢看。,2018-08-04,4.0,郑州,seI164579282
3494,看着挺好   国产东漫越来越好了,2018-08-04,4.5,大连,jXe677986146
3509,"笑点很足，画风也很好，在电影中最后那些话触及到了内心，赞

（问一个没看懂的地方，女主最后还保留了那段时间的记忆吗）",2018-08-04,4.5,海口,又被泡封了454
3524,好看，希望画江湖再出几部系列的电影。,2018-08-04,5.0,广州,Lyn912154777
3539,模真的蛮好的，但剧情emmm若森的还想怎样🌚,2018-08-04,5.0,广州,你不懂。0603
3584,真心感觉国漫越来越不错啦,2018-08-04,5.0,郑州,joyo1616mm
3599,除了结局俗套牵强外，其他都很好，国漫崛起了！！,2018-08-04,4.5,湛江,羽扬8085
3614,不错的动漫，集搞笑动作，感人情节。,2018-08-04,5.0,武汉,EqI624710690
3629,人法地法天法道法自然，传说中的神功根本就不是练出来的。人与自然本就是一体的。我即是自然，自然即是我。我在驭风，风在驭我。,2018-08-04,5.0,深圳,OQP422736303
3644,笑点与泪点齐飞，非常不错的国漫，支持国漫，支持画江湖。,2018-08-04,5.0,昆明,陌小兔24
3659,纯小白观众，这个故事我还是买单的，场面由于技术或经费，有点惨。国漫继续努力,2018-08-04,4.0,上海,mozhangyong
3674,值得去看啊哦。,2018-08-04,4.5,拉萨,PsT403581176
3689,良心国漫，大人小孩都适合，既搞笑，又感动,2018-08-04,5.0,上海,刘言非语灬
3704,10分怕你骄傲，再接再厉!,2018-08-04,4.5,西安,wzh_net
3719,最好的国产动画,2018-08-04,5.0,长春,OFA492405981
3734,渣渣，全是抄袭，情节异常硬,2018-08-04,1.0,南宁,nIJ861335827
3749,没啥说的，牛逼！,2018-08-04,5.0,西安,ORi629011389
3779,超级好看，真的！！！！,2018-08-04,5.0,宿迁,wang4364288
3794,与预想的有点差距,2018-08-04,4.5,松滋,Vou820093335
3809,很不错、可能是因为一直在看画江湖跟侠岚吧！期待更好的作品！下一个应该雷系或者水系的分支雾系雪系了吧！冰系有千钧了！,2018-08-04,5.0,北京,und176107435
3884,很好看，画面也很好除了村民的群像有点粗糙之外没啥挑剔的。支持国漫！,2018-08-04,5.0,重庆,VJi582199028
3899,不错，国漫崛起了，加油💪,2018-08-04,5.0,丽江,久违了362
3914,挺感人的，又能回忆起过去,2018-08-04,4.5,余姚,klO661866841
3959,很好的一部影片，有笑点有泪点，说不出啥评论，反正建议观看,2018-08-04,5.0,大连,fjE674259150
3974,效果很好，非常好看,2018-08-04,5.0,泉州,dXi170072059
3989,精彩！一点都不像国产的动画片！,2018-08-04,4.5,上海,搖滾貓奴
4018,看完了发现老爹比儿子帅！部分情节比较中二，还有就是最后一幕不会教坏小朋友吗？万一他们跳楼怎么办？,2018-08-04,4.0,深圳,ianfan1
4019,良心片，推荐有小孩儿一家人去看！,2018-08-04,5.0,北京,zGr770972641
4049,支持画江湖，，，,2018-08-04,5.0,哈尔滨,Mr＂王振宇
4064,给10分能骗一个是一个,2018-08-04,5.0,瑞安,eQe730255750
4079,挺好挺好挺好,2018-08-04,5.0,北京,南城。9296
4109,国漫真的慢慢崛起了,2018-08-04,5.0,成都,zJd892687541
4199,期待了好久的电影，唉～~😭😭😭😭😔给四分，辛苦制作的团队,2018-08-04,2.0,北京,iye240270304
4214,好看 本来就是若森的迷 剧情挺好的,2018-08-04,5.0,西安,near5126
4229,挺好的，感谢父母的爱。,2018-08-04,4.5,亳州,wgy662802775
4244,剧情，动画，特效无敌了,2018-08-04,5.0,北京,大圣4533
4259,相当好看！期待许久，,2018-08-04,5.0,乐山,QRT165840042
4274,好看好看，满满的正能量,2018-08-04,5.0,花都,灿灿245
4304,这些人是没看电影就评分的吗？这片子也能9.2？还卖46一张，浪费我时间！烂片！,2018-08-04,1.0,成都,janejane是谁
4319,非常棒的电影 带孩子一起看,2018-08-04,5.0,天津,＜＜＞＞602
4334,很棒，很好看,2018-08-04,5.0,无锡,Ezz970144124
4349,特别特别特别特别特别特别特别特别特别特别特别特别好看😂 😂 😂 😂 😂 ,2018-08-04,5.0,滁州,RsC401296289
4409,十分为了国产动画！有笑有泪，父母的爱太伟大了！！！制作非常良心，剧情也很好看，真的为国产动画鼓掌，支持国漫！！！,2018-08-04,5.0,深圳,Xce123295329
4424,我还挺喜欢。,2018-08-04,3.5,贵阳,eQd13984147931
4439,我爆灯！！！！！！！！！！！,2018-08-04,5.0,咸阳,UIm895875889
4469,超英赶美，画风亮点，最终幻想，值得一赞!题材不错，蓄势上还欠缺火候，一部之遥，再接再厉!,2018-08-04,4.5,北京,丰行衍涌
4484,很有画江湖的感觉,2018-08-04,4.5,芜湖,SIT213280694
4499,总体来说还可以，可以说，自我感觉风语咒少了一份遵循渐进的感觉，可以这么说，就像武侠小说的主角一样，没怎么练功夫，却直接会了最厉害的大招，少的是一份缓慢的运作，主角的历练运作会给观众带来更大视觉体验，而侠岚的老观众会觉得少了一份（侠岚）的感觉，但是这部影片或许就是一份国产动漫崛起的标志吧，或许还有许多不足，但也难得可贵了。,2018-08-04,3.5,长春,php211621085
