data-id,城市,印象,城市游记,印象游记,景点游记,餐饮游记,购物游记,娱乐游记
58690,新竹,城市攻略>,50,0,0,0,0,0
143798,平舆,,0,0,0,0,0,0
18168,陆巷,,0,0,0,0,0,0
25191,章丘,,52,0,0,0,0,0
18279,唐河,,0,0,0,0,0,0
139549,嘉义县,城市攻略>,0,0,0,0,0,0
25664,瘦西湖,,103,0,0,0,0,0
56775,东平,,0,0,0,0,0,0
143790,封丘,,0,0,0,0,0,0
145817,西湖乡,,0,0,0,0,0,0
14580,天目湖,,157,0,0,0,0,0
17889,临朐,,56,0,0,0,0,0
143787,卢氏,,0,0,0,0,0,0
64947,吉安乡,,0,0,0,0,0,0
17765,鼋头渚,,0,0,0,0,0,0
64330,莒南,,0,0,0,0,0,0
175676,温县,,0,0,0,0,0,0
173540,竹崎乡,,0,0,0,0,0,0
26013,宝华山,,0,0,0,0,0,0
55759,鸡鸣岛,,0,0,0,0,0,0
143796,太康,,0,0,0,0,0,0
15964,花果山,,0,0,0,0,0,0
15949,喜洲,,200,0,0,0,0,0
84692,胶州,,16,0,0,0,0,0
175802,郸城县,,0,0,0,0,0,0
15965,栖霞山,,0,0,0,0,0,0
11827,昭通,,212,0,0,0,0,0
140619,诸城,,19,0,0,0,0,0
64177,扶沟,,0,0,0,0,0,0
48611,留园,,0,0,0,0,0,0
175808,柘城县,,0,0,0,0,0,0
64232,蒙阴,,0,0,0,0,0,0
23865,文山,砚山米线 古村 三七汽锅鸡 腊科火腿 山水风光 花糯米饭 平坝荞酥 壮酒,52,113,54,59,0,0
24367,天平山,,0,0,0,0,0,0
143804,清丰,,0,0,0,0,0,0
66309,微山,,33,0,0,0,0,0
17824,丙中洛,神山 石头粑粑 板栗 丙中洛徒步 独龙毯 蛋酒 怒江徒步 农家菜,201,15,15,0,0,0
18269,溱湖,,0,0,0,0,0,0
175820,虞城县,,0,0,0,0,0,0
66311,文登,,0,0,0,0,0,0
42813,锡惠公园,,0,0,0,0,0,0
30426,芒市,,110,0,0,0,0,0
143778,杞县,,0,0,0,0,0,0
64376,寿光,,0,0,0,0,0,0
22136,坝美,,171,0,0,0,0,0
10088,广州,古村 羊城八景 购物 欧陆风情 珠江夜游 茶楼 购物街 汤 肠粉,14564,8130,4282,1493,1735,620
175673,孟州市,,0,0,0,0,0,0
144211,费县,,0,0,0,0,0,0
175691,上街区,,0,0,0,0,0,0
19625,德宏,,103,0,0,0,0,0
10198,深圳,村 亲子 主题公园 文化场所 罗湖 购物 东门 酒吧 鲜蚝,8284,2974,2036,37,493,408
63815,平邑,,35,0,0,0,0,0
143773,内黄,,0,0,0,0,0,0
63577,蒙自,,86,0,0,0,0,0
140539,梁山县,,0,0,0,0,0,0
