公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,工作年限,经验,salary,月薪
有棵树（深圳）网络科技有限公司,YKS,2000人以上,D轮及以上,宝安区,中高级PHP开发,3-5年,大专,15k-25k,"五险一金,上市公司,团队合作,晋升空间大","['3', '5']",4.0,"['15', '25']",17.5
深圳市奔跑科技有限公司,奔跑科技,少于15人,A轮,南山区,PHP开发工程师,应届毕业生,本科,3k-6k,"资深指导,快速成长,创业激情",[],0.0,"['3', '6']",3.75
深圳市众云网有限公司,众云网,15-50人,不需要融资,南山区,PHP开发工程师,1-3年,不限,5K-10K,"团队氛围好,五险一金,周末双休","['1', '3']",2.0,"['5', '10']",6.25
深圳市网联信息科技开发有限公司,网联信息,150-500人,不需要融资,福田区,PHP开发工程师,1-3年,大专,6k-10k,"无吸引力,绩效奖金,带薪休假,公司旅游","['1', '3']",2.0,"['6', '10']",7.0
深圳市美乐德商务服务有限公司,Mylord,50-150人,不需要融资,宝安区,PHP开发工程师-电商,3-5年,大专,15k-20k,"双休,带薪年假,五险一金","['3', '5']",4.0,"['15', '20']",16.25
深圳多游空间科技有限公司,多游空间,15-50人,不需要融资,宝安区,PHP高级工程师,3-5年,本科,10k-20k,"年终分红,绩效奖金","['3', '5']",4.0,"['10', '20']",12.5
您用科技（深圳）有限公司,您用科技,15-50人,未融资,南山区,PHP高级工程师,5-10年,大专,10K-15K,发展前景，福利待遇好，环境优美，优秀团队,"['5', '10']",7.5,"['10', '15']",11.25
华为全资子公司慧通公司,华为慧通,500-2000人,未融资,龙岗区,PHP开发工程师,1-3年,本科,15k-25k,华为编制,"['1', '3']",2.0,"['15', '25']",17.5
创销英杰软件（深圳）有限公司,英雄开发,150-500人,不需要融资,南山区,高级PHP程序员,3-5年,本科,20k-25k,"十天年假,环境氛围好,团队皆牛人,薪资待遇高","['3', '5']",4.0,"['20', '25']",21.25
深圳依时货拉拉科技有限公司,货拉拉手机打车软件,2000人以上,C轮,福田区,PHP高级工程师,5-10年,本科,20k-28k,年终奖 下午茶 旅游 六险一金,"['5', '10']",7.5,"['20', '28']",22.0
深圳市久顺源科技有限公司,深圳市久顺源科技有限公司,15-50人,不需要融资,龙岗区,诚聘PHP程序员/PHP开发工程师,1-3年,不限,5k-10k,"五险一金,年终分红,加班补助,带薪年假","['1', '3']",2.0,"['5', '10']",6.25
深圳市览网科技有限公司,览网,15-50人,天使轮,南山区,PHP工程师（小程序方向）,3-5年,大专,13k-20k,股权,"['3', '5']",4.0,"['13', '20']",14.75
深圳市耀年品牌设计顾问有限公司,耀年设计,15-50人,不需要融资,福田区,PHP,不限,本科,7k-10k,我们是造飞机的人,[],0.0,"['7', '10']",7.75
深圳鱼传科技有限公司,鱼传科技,15-50人,不需要融资,龙岗区,全栈工程师-PHP&amp;前端&amp;移动端,1-3年,大专,8k-12k,"五险一金,氛围轻松,大牛指导,公司前景好","['1', '3']",2.0,"['8', '12']",9.0
聚畔信息科技（上海）有限公司,聚畔,15-50人,未融资,南山区,PHP开发工程师,5-10年,不限,10k-20k,"五险一金,带薪年假,年终奖金,弹性工作","['5', '10']",7.5,"['10', '20']",12.5
深圳瓶子科技有限公司,瓶子科技,50-150人,不需要融资,南山区,php高级开发工程师,5-10年,本科,15k-30k,"福利好,学习机会,绩效奖金","['5', '10']",7.5,"['15', '30']",18.75
深圳市果拍网络科技有限公司,果拍科技,15-50人,不需要融资,龙岗区,PHP开发工程师,1-3年,大专,10k-15k,"ERP系统,小姐姐多,纯技术,跨境电商","['1', '3']",2.0,"['10', '15']",11.25
深圳宝弘成网络科技有限公司,宝弘成,50-150人,不需要融资,罗湖区,PHP开发工程师,3-5年,不限,10k-20k,"五险一金,繁华地带","['3', '5']",4.0,"['10', '20']",12.5
深圳市星艺网科技有限公司,星艺网,少于15人,天使轮,,PHP兼职工程师,3-5年,不限,10k-20k,先兼职或发展成为公司合伙人提供原始股权！,"['3', '5']",4.0,"['10', '20']",12.5
深圳市微金服科技开发有限公司,微金服,15-50人,不需要融资,福田区,PHP高级工程师,3-5年,大专,15k-20k,"扁平化管理,轻松办公,周末双休,带薪年假","['3', '5']",4.0,"['15', '20']",16.25
能量（深圳）科技有限公司,我爱全球购,少于15人,未融资,南山区,PHP高级开发工程师,3-5年,大专,6k-12k,"五险一金,扁平化管理,团队氛围好,丰厚福利","['3', '5']",4.0,"['6', '12']",7.5
兴天实业（深圳）有限公司,兴天实业,50-150人,不需要融资,南山区,PHP后端开发程序员,1-3年,大专,8k-14k,"周末双休,带薪年假,五险一金","['1', '3']",2.0,"['8', '14']",9.5
深圳市爱乐墨科技有限公司,乐墨科技,少于15人,不需要融资,南山区,资深技术经理（PHP）,5-10年,本科,15K-25K,"弹性上班,行业领先","['5', '10']",7.5,"['15', '25']",17.5
